file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,28
style.css,2,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,24
style.css,3,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,29
style.css,4,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,6
style.css,5,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,32
style.css,6,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,63
style.css,7,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,0
style.css,8,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,0
style.css,9,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,4
style.css,10,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,5
style.css,11,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,33
style.css,12,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,0
style.css,13,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,0
style.css,14,css,af3efbda,iamangeldi,2025-01-17,18:09:01,-08:00,2025-01-17T18:09:01-08:00,0,5
style.css,15,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,24
style.css,16,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,9
style.css,17,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,13
style.css,18,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,22
style.css,19,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,19
style.css,20,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,21,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,22,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,28
style.css,23,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,16
style.css,24,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,29
style.css,25,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,4
style.css,26,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,13
style.css,27,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,29
style.css,28,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,19
style.css,29,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,12
style.css,30,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,40
style.css,31,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,44
style.css,32,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,11
style.css,33,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,22
style.css,34,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,18
style.css,35,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,36,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,37,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,6
style.css,38,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,7
style.css,39,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,17
style.css,40,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,41,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,42,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,6
style.css,43,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,7
style.css,44,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,18
style.css,45,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,21
style.css,46,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,14
style.css,47,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,14
style.css,48,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,52
style.css,49,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,50,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,51,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,14
style.css,52,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,46
style.css,53,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,21
style.css,54,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,17
style.css,55,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,56,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,57,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,12
style.css,58,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,46
style.css,59,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,70
style.css,60,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,0
style.css,61,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,0
style.css,62,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,28
style.css,63,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,20
style.css,64,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,29
style.css,65,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,14
style.css,66,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,18
style.css,67,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,9
style.css,68,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,11
style.css,69,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,14
style.css,70,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,20
style.css,71,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,0
style.css,72,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,0
style.css,73,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,21
style.css,74,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,13
style.css,75,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,20
style.css,76,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,37
style.css,77,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,18
style.css,78,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,37
style.css,79,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,12
style.css,80,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,15
style.css,81,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,0
style.css,82,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,0
style.css,83,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,27
style.css,84,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,13
style.css,85,css,f5996d8a,iamangeldi,2025-01-24,19:05:31,-08:00,2025-01-24T19:05:31-08:00,0,39
style.css,86,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,0
style.css,87,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,0
style.css,88,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,28
style.css,89,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,16
style.css,90,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,29
style.css,91,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,16
style.css,92,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,18
style.css,93,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,11
style.css,94,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,16
style.css,95,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,18
style.css,96,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,97,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,98,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,2
style.css,99,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,2
style.css,100,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,2
style.css,101,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,2
style.css,102,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,2
style.css,103,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,3
style.css,104,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,16
style.css,105,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,18
style.css,106,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,0
style.css,107,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,0
style.css,108,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,3
style.css,109,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,15
style.css,110,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,20
style.css,111,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,0
style.css,112,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,0
style.css,113,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,3
style.css,114,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,15
style.css,115,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,0
style.css,116,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,0
style.css,117,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,28
style.css,118,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,14
style.css,119,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,29
style.css,120,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,5
style.css,121,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,13
style.css,122,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,31
style.css,123,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,8
style.css,124,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,11
style.css,125,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,16
style.css,126,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,14
style.css,127,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,128,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,129,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,11
style.css,130,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,17
style.css,131,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,18
style.css,132,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,16
style.css,133,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,0
style.css,134,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,0
style.css,135,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,10
style.css,136,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,14
style.css,137,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,13
style.css,138,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,14
style.css,139,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,22
style.css,140,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,18
style.css,141,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,11
style.css,142,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,22
style.css,143,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,144,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,145,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,14
style.css,146,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,16
style.css,147,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,13
style.css,148,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,149,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,150,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,12
style.css,151,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,19
style.css,152,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,18
style.css,153,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,37
style.css,154,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,12
style.css,155,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,12
style.css,156,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,18
style.css,157,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,14
style.css,158,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,15
style.css,159,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,38
style.css,160,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,161,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,162,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,18
style.css,163,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,34
style.css,164,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,165,css,fbde0893,iamangeldi,2025-01-17,18:36:24,-08:00,2025-01-17T18:36:24-08:00,0,0
style.css,166,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,28
style.css,167,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,15
style.css,168,css,00000000,Not Committed Yet,2025-02-14,21:25:56,-08:00,2025-02-14T21:25:56-08:00,0,29
style.css,169,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,10
style.css,170,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,13
style.css,171,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,37
style.css,172,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,8
style.css,173,css,573d2f47,iamangeldi,2025-01-17,19:00:49,-08:00,2025-01-17T19:00:49-08:00,0,11
